Mental Model,Category,Subcategory,Type,Key Application,Description,Sources
False Dichotomy,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Falsifiability,Core Thinking,Foundational,Core Model,,,Sloww
Fat Tails,Distributions,Extreme Events,Risk Framework,,,Black Swan; Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb
Feedback Loop,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Feedback Loops,Systems and Mathematics,Systems,System Framework,,Self-reinforcing cycles that amplify or dampen system behavior over time,Great Mental Models Vol 3; Ray Dalio (Principles); Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3; SuperThinking
First Principles,Decision Making,Principles,Principle,,,Clear Thinking; Shane Parrish
First Principles from Rockets,Thinking,Fundamentals,Problem-Solving Framework,,,Ozan Varol; Think Like a Rocket Scientist
First Principles from Rocket Science,Thinking & Design,Problem Solving,Problem-Solving Framework,,,Ozan Varol; Think Like a Rocket Scientist
First Principles Thinking,General Thinking Concepts,Fundamental Frameworks,Framework,,Break down complex problems into fundamental truths and rebuild from there,Adam Grant (Think Again); Clear Thinking; Great Mental Models Vol 1; Ozan Varol; Ozan Varol (Think Like a Rocket Scientist); Ray Dalio; Ray Dalio (Principles); Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1; Shane Parrish: Clear Thinking; SuperThinking
Flow,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Flynn Effect,Comprehensive List,General,Mental Model,,,99 Mental Models
Flywheel,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Focusing Illusion,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Fogg Behavior Model (B=MAP),Behavior Change,Model,Behavioral Model,,Behavior = Motivation + Ability + Prompt; all three needed simultaneously,BJ Fogg; BJ Fogg (Tiny Habits); Tiny Habits
FOMO,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Fooled by Randomness,Risk & Uncertainty,Probability & Risk,Risk Framework,,,Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb
Forgetting Curve,Comprehensive,General,Mental Model,,,80 Useful Mental Models Blog; hptbydts.com
Foundation Building,Mastery,Foundation,Learning Model,,,Josh Waitzkin; The Art of Learning
Fragility/Robustness/Antifragility Spectrum,Risk & Uncertainty,Probability & Risk,Risk Framework,,,Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb
Framing,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Free Rider Problem,Key Concepts,Foundational Thinking,Economic Problem,,Incentive to benefit from collective good without contributing,Economics; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Friction and Viscosity,"Physics, Chemistry, Biology",Physics,Physics Principle,,Forces that oppose movement,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Fundamental Attribution Error,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Gallup Q12,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Gambler's Fallacy,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,99 Mental Models; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Gell-Mann Amnesia,Comprehensive List,General,Mental Model,,,99 Mental Models
Generalist vs Specialist,Career & Knowledge,Career Path,Career Model,,Generalists with diverse knowledge often outperform specialists,Adam Grant; Adam Grant (Originals); David Epstein (Range); Originals
Genre,Economics and Art,Art,Art Concept,,Categories for creative work,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Global and Local Maxima,Systems and Mathematics,Mathematics,Optimization Concept,,Best overall vs nearby,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
"Golden Circle Model (Why, How, What)",Leadership & Motivation,Organization Design,Leadership Framework,,,Simon Sinek; Start with Why
Golden Circle (Why/How/What),Leadership & Motivation,Framework,Leadership Framework,,"Start with WHY (purpose), then HOW (process), then WHAT (output)",Simon Sinek; Simon Sinek (Start with Why); Start with Why
Golden Mean,Comprehensive,General,Mental Model,,,80 Useful Mental Models Blog; hptbydts.com
Golden Rule,Comprehensive,General,Mental Model,,,80 Useful Mental Models Blog; hptbydts.com
Golem Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Goodhart's Law,"Laws, Principles & Razors",Laws,Management Principle,,"When metric becomes target, it ceases to be good metric",Economics; Gabriel Weinberg & Lauren McCann; Management; SuperThinking; SuperThinking (Weinberg/McCann)
Gresham's Law,Comprehensive List,General,Mental Model,,,99 Mental Models
Grit (Passion + Perseverance),Success & Achievement,Persistence,Success Model,,Sustained passion combined with long-term persistence predicts achievement,Angela Duckworth; Angela Duckworth (Grit); Grit
Groupthink,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,99 Mental Models; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Growth Mindset,Comprehensive List,General,Mental Model,,,99 Mental Models
Habit Stacking,Habit Formation,Behavior Design,Habit Model,,,Atomic Habits; James Clear
Halo Effect,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Hanlon's Razor,General Thinking Concepts,Fundamental Frameworks,Principle,,Never attribute to malice that which can be adequately explained by incompetence,Great Mental Models Vol 1; Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1; SuperThinking
Hawthorne Effect,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Hedonic Adaptation,Comprehensive List,General,Mental Model,,,99 Mental Models
Hedonic Treadmill,Psychology & Happiness,General,Psychological Principle,,Humans adapt to changes and return to baseline happiness level,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Psychology
Heuristic,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Hick's Law,"Laws, Principles & Razors",Laws,Law,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Hierarchical Organization,"Physics, Chemistry, Biology",Biology,Organization Principle,,Ranked systems create structure,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Hierarchies & Inequality,Power Structures,Social Stratification,Social Framework,,,Sapiens; Yuval Noah Harari
High Conflict Mode,Conflict,Escalation,Conflict Framework,,,Amanda Ripley; High Conflict
Hindsight Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Hofstadter's Law,"Laws, Principles & Razors",Laws,Management Principle,,"Everything takes longer than expected, even accounting for Hofstadter's Law",Gabriel Weinberg & Lauren McCann; Project Management; SuperThinking; SuperThinking (Weinberg/McCann)
Homeostasis,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Horizontal Connections for Creativity,Creativity,Environment,Creativity Model,,,Imagine: How Creativity Works; Jonah Lehrer
Horizontal Connections Spark Creativity,Environment,Networks,Creativity Model,,,Imagine; Jonah Lehrer
Horns Effect,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Humility in Expertise,Systems & Complexity,Process Management,Process Framework,,,Atul Gawande; The Checklist Manifesto
Hydra Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Hyperbolic Discounting,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Hysteresis,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Iceberg Principle,Comprehensive List,General,Mental Model,,,99 Mental Models
IDEALS Framework,Additional Frameworks,Thinking Tools,Framework,,,Cross-Source Frameworks; Multiple
Identity-Based Habits,Behavior Change,Self-Concept,Behavioral Framework,,Build habits based on identity shift rather than outcome goals,Atomic Habits; BJ Fogg (Tiny Habits); James Clear; James Clear (Atomic Habits)
IKEA Effect,Comprehensive List,General,Mental Model,,,99 Mental Models
Illusion of Control,Agency,Causality Attribution,Cognitive Bias,,,"Daniel Kahneman; Morgan Housel; The Psychology of Money; Thinking, Fast and Slow"
Imagined Orders,Social Reality,Shared Beliefs,Sociological Framework,,"Social structures exist because of shared belief, not objective reality",Sapiens; Yuval Noah Harari; Yuval Noah Harari (Sapiens)
Improving Returns,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business
Incentives,"Physics, Chemistry, Biology",Biology,Psychological Principle,,Rewards punishments shape behavior,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Incremental Improvement,Habit Formation,Behavior Design,Habit Model,,,Atomic Habits; James Clear
Inertia,"Physics, Chemistry, Biology",Physics,Physics Principle,,Objects in motion stay in motion,Gabriel Weinberg & Lauren McCann; Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2; SuperThinking; SuperThinking (Weinberg/McCann)
Inertia Default,Decision Making,Defaults,Decision Trap,,,Clear Thinking; Shane Parrish
Inertia (Physical & Psychological),Physics & Behavior,,Physics Principle,,Objects in motion stay in motion; resistance to change affects systems,Shane Parrish (TGMM Vol 2); SuperThinking
Information Economics,Information,Incomplete Info,Strategic Framework,,,Poker Community; Poker Strategy
In-Group Favoritism & Out-Group Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Integration vs Fragmentation,Learning & Growth,Learning Framework,Learning Model,,,Josh Waitzkin; The Art of Learning
Interpretation,Economics and Art,Art,Art Concept,,How meaning derived,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Intrinsic Motivation,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Inverse Thinking,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Inversion,General Thinking Concepts,Fundamental Frameworks,Framework,,Think backwards from outcome,Charlie Munger; Great Mental Models Vol 1; Shane Parrish; Shane Parrish Vol 1; SuperThinking
Inversion (Thinking Backwards),Problem-Solving,,Reasoning Framework,,"Instead of solving forward, think about how to achieve the opposite outcome",Charlie Munger; Shane Parrish (TGMM Vol 1); SuperThinking (Weinberg & McCann)
"Invert, Always Invert",Investment & Business,Core Frameworks,Philosophy,,,Charlie Munger; Charlie Munger (Poor Charlie's Almanack); Poor Charlie's Almanack
IQ vs. EQ,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Irreducibility,Systems and Mathematics,Mathematics,Mathematical Principle,,Cannot be simplified beyond point,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
Joy's Law,"Laws, Principles & Razors",Laws,Law,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Just World Hypothesis,Key Concepts,Foundational Thinking,Framework,,,99 Mental Models; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
KISS Principle,Comprehensive List,General,Mental Model,,,99 Mental Models
Knowledge Doubling Curve,Comprehensive List,General,Mental Model,,,99 Mental Models
Lateral Thinking,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Latticework of Mental Models,Investment & Business,Core Frameworks,Philosophy,,,Charlie Munger; Charlie Munger (Poor Charlie's Almanack); Poor Charlie's Almanack
Law of Averages,Comprehensive List,General,Mental Model,,,99 Mental Models
Law of Diminishing Returns,"Laws, Principles & Razors",Laws,Economic Principle,,Additional inputs yield progressively smaller outputs after a certain point,Economics; Economics texts; Gabriel Weinberg & Lauren McCann; Great Mental Models Vol 3; Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3; SuperThinking; SuperThinking (Weinberg/McCann)
Law of Diminishing Utility,"Laws, Principles & Razors",Laws,Law,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Law of Large Numbers,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Law of Least Effort,Comprehensive List,General,Mental Model,,,99 Mental Models
Law of Small Numbers,Comprehensive List,General,Mental Model,,,99 Mental Models
Law of the Few (Connectors),Social Dynamics,Key Influencers,Social Model,,,Malcolm Gladwell; The Tipping Point
Law of the Few (Connectors/Mavens/Salespeople),Social Influence,,Social Framework,,"Specific people (connectors, mavens, salespeople) drive disproportionate influence",Malcolm Gladwell (The Tipping Point)
Law of Unintended Consequences,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Laws of Motion,Core Thinking,Foundational,Core Model,,,Sloww
Laws of Thermodynamics,Core Thinking,Foundational,Core Model,,,Sloww
Leading with Purpose,Purpose,Direction,Leadership Principle,,,Simon Sinek; Start with Why
Leading with Vulnerability,Leadership,Authenticity,Leadership Principle,,,Brené Brown; Dare to Lead
Learned Helplessness,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Learning from the Errors of Others,Investment & Business,Core Frameworks,Philosophy,,,Charlie Munger; Charlie Munger (Poor Charlie's Almanack); Poor Charlie's Almanack
Leverage,"Physics, Chemistry, Biology",Physics,Physics Principle,,Small effort creates large results,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Leverage (Mechanical & Organizational),Physics & Strategy,,Physics Principle,,Small effort applied at right point produces disproportionate results,Archimedes Principle; Shane Parrish (TGMM Vol 2)
Liking,"Biases, Fallacies & Effects",Influence Principles,Influence Principle,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Lindy Effect,"Biases, Fallacies & Effects",Behavioral & Social,Longevity Principle,,"The longer something has survived, the longer it is expected to survive",99 Mental Models; Black Swan; Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Gabriel Weinberg & Lauren McCann; Nassim Taleb; SuperThinking; SuperThinking (Weinberg/McCann)
Loss Aversion,"Biases, Fallacies & Effects",Behavioral & Social,Behavioral Principle,,Fear of losing something is psychologically roughly twice as powerful as gain,"Daniel Kahneman; Daniel Kahneman (Thinking, Fast and Slow); Gabriel Weinberg & Lauren McCann; Prospect Theory; SuperThinking; SuperThinking (Weinberg/McCann); Thinking, Fast and Slow"
Luck vs Skill,Finance & Behavior,Success,Success Model,,,Morgan Housel; Psychology of Money; The Psychology of Money
Luck vs Skill in Success,Success,Attribution,Success Model,,,Morgan Housel; Psychology of Money
Margin of Safety,Systems and Mathematics,Systems,Risk Principle,,Buffer between capacity demand,99 Mental Models; Charlie Munger; Great Mental Models Vol 3; Poor Charlie's Almanack; Shane Parrish; Shane Parrish Vol 3; Value Investing
Market Expectations Infrastructure,Investment,Investing Frameworks,Investment Model,,,Expectations Investing / Skill & Luck; Michael Mauboussin
Maslow's Hammer,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann); hptbydts.com
Mavens,Social Dynamics,Information Brokers,Social Model,,,Malcolm Gladwell; The Tipping Point
Mavens (Information Brokers),Social Dynamics,Connectors,Social Model,,,Malcolm Gladwell; The Tipping Point
MECE Thinking,Additional Frameworks,Business Analysis,Frameworks,,,Cross-Source
"MECE Thinking (Mutually Exclusive, Collectively Exhaustive)",Additional Frameworks,Thinking Tools,Framework,,,Cross-Source Frameworks; Multiple
Medium,Economics and Art,Art,Art Concept,,Material or format,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Meme,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Memorializing Decision Process,Decision Making,Probabilistic Decisions,Decision Framework,,,Annie Duke; Thinking in Bets
Mental Models Framework,Decision Making & Psychology,Key Principles,Framework,,Use diverse frameworks,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
Metcalfe's Law,"Laws, Principles & Razors",Laws,Network Principle,,Value of network grows with square of number of users,Gabriel Weinberg & Lauren McCann; Network Science; SuperThinking; SuperThinking (Weinberg/McCann)
Minimum Effective Dose,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Minimum Viable Product,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Momentum,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Monopoly and Competition,Economics and Art,Economics,Economic Principle,,Market dynamics shift,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Moral Hazard,Economics and Art,Economics,Economic Principle,,Party insulated from consequences takes more risk,Economics; Great Mental Models Vol 4; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4
Motivation,Behavior Change,Habit Formation,Behavioral Framework,,,BJ Fogg; Tiny Habits
Motivation (in B=MAP),Behavior Change,Motivation,Behavioral Component,,,BJ Fogg; Tiny Habits
Mr. Market,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business
Multidisciplinary Approach,Investment & Business,Core Frameworks,Philosophy,,,Charlie Munger; Charlie Munger (Poor Charlie's Almanack); Poor Charlie's Almanack
Multiplying by Zero,Systems and Mathematics,Mathematics,Mathematical Principle,,One failure negates all,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
Murphy's Law,"Laws, Principles & Razors",Laws,Risk Principle,,"If something can go wrong, it will; plan for failure modes",Gabriel Weinberg & Lauren McCann; Risk Management; SuperThinking; SuperThinking (Weinberg/McCann)
Narrow Framing,Decision Making,Decision Framework,Decision Model,,,Chip & Dan Heath; Decisive
Natural Selection,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Negative Black Swan,Risk,Negative Surprises,Risk Model,,,Black Swan; Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb
Negativity Bias,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Net Present Value,Comprehensive List,General,Mental Model,,,99 Mental Models
Network Effect,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Network Effects,Systems and Mathematics,Supporting Ideas,Economic Principle,,Value increases exponentially as the number of participants grows,Great Mental Models Vol 3; Kevin Espiritu; Kevin Espiritu (Business Models); Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3; SuperThinking
Niches,"Physics, Chemistry, Biology",Biology,Biological Concept,,Specialized roles in ecosystem,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Nocebo Effect,"Biases, Fallacies & Effects",Psychological Effects,Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Nonresponse Bias,"Biases, Fallacies & Effects",Selection & Data Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Normalcy Bias,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Normal Distribution,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Nudge Theory,Choice Architecture,Choice Context,Behavioral Model,,Small changes to decision environment can dramatically shift behavior,Cass Sunstein & Richard Thaler; Cass Sunstein & Richard Thaler (Nudge); Nudge
Observer Effect,"Biases, Fallacies & Effects",Experimental & Observational,Experimental Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Observer-Expectancy Bias,"Biases, Fallacies & Effects",Experimental & Observational,Experimental Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Occam's Razor,General Thinking Concepts,Fundamental Frameworks,Principle,,The simplest explanation is usually the best; do not multiply entities beyond necessity,Great Mental Models Vol 1; Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1; SuperThinking
OODA Loop,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Opponent Modeling,Game Theory,Opponent Analysis,Strategic Framework,,Predict and adapt to opponent strategies by understanding their ranges and tendencies,Game Theory; Poker Community; Poker Strategy
Opportunity Cost,Economics and Art,Economics,Economic Principle,,"True cost of choice is what you give up, not just what you spend",99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Economics; Great Mental Models Vol 4; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4; SuperThinking
Optimistic Probability Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Optimization,Economics and Art,Art,Artistic Principle,,,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Optimization (Art & Design),Art & Design,,Design Principle,,When maximize vs adapt,Shane Parrish Vol 4
Order of Magnitude,Systems and Mathematics,Supporting Ideas,Estimation Principle,,Scale of estimation error,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
Ostrich Effect,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Outcome Bias,Attribution,Causality Errors,Cognitive Bias,,,Fooled by Randomness; Nassim Taleb
Overconfidence Effect,Overestimation,Excessive Certainty,Cognitive Bias,,,"Daniel Kahneman; Thinking, Fast and Slow"
Overconfidence in Predictions,Decision Making,Decision Framework,Decision Model,,,Chip & Dan Heath; Decisive
Over/Underestimation Pattern,Prediction,Patterns,Prediction Bias,,,Forecasting Essays; Paul Saffo
Paradox of Choice,Key Concepts,Foundational Thinking,Decision Problem,,Too many options leads to decision paralysis and decreased satisfaction,Behavioral Economics; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Pareto Distribution,Comprehensive List,General,Mental Model,,,99 Mental Models
Pareto Efficiency,Comprehensive List,General,Mental Model,,,99 Mental Models
Pareto Frontier,Comprehensive List,General,Mental Model,,,99 Mental Models
Pareto Principle,Systems and Mathematics,Supporting Ideas,Framework,,,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
Pareto Principle (80/20),Optimization,General,Distribution Principle,,80% effects from 20% causes,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Shane Parrish Vol 3; SuperThinking
Pareto Principle (80/20 Rule),Optimization,,Distribution Principle,,"80% of effects come from 20% of causes; focus on vital few, not trivial many",99 Mental Models; Shane Parrish (TGMM Vol 3); SuperThinking
Parkinson's Law,"Laws, Principles & Razors",Laws,Productivity Law,,Work expands to fill time allocated; add constraints to increase efficiency,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Gabriel Weinberg & Lauren McCann; Productivity; SuperThinking; SuperThinking (Weinberg/McCann)
Path Dependence,Key Concepts,Foundational Thinking,Historical Principle,,"Current state shaped by sequence of past events, not just conditions",Economics; Gabriel Weinberg & Lauren McCann; History; SuperThinking; SuperThinking (Weinberg/McCann)
Pattern Recognition,Learning & Growth,Learning Framework,Learning Model,,,Josh Waitzkin; The Art of Learning
Pattern Seeking,Finance & Psychology,Financial Behavior,Behavioral Model,,,Morgan Housel; The Psychology of Money
Paul Saffo's Forecasting Rules,Forecasting,Methods,Forecasting Model,,,Forecasting Essays; Paul Saffo
Perspective,Economics and Art,Art,Art Concept,,Viewpoint of experience,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Perverse Incentives,Key Concepts,Foundational Thinking,System Concept,,Incentive structures encourage undesired behaviors,Gabriel Weinberg & Lauren McCann; Incentive Design; SuperThinking; SuperThinking (Weinberg/McCann)
Peter Principle,Comprehensive,General,Mental Model,,,99 Mental Models Site; 99mentalmodels.com
Placebo Effect,Comprehensive,General,Mental Model,,,80 Useful Mental Models Blog; hptbydts.com
Planning Fallacy,Comprehensive List,General,Mental Model,,,99 Mental Models
Plot,Economics and Art,Art,Narrative Concept,,Meaningful sequence events,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Polarity,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Porter's 5 Forces,Business,Value Creation,Business Model,,,Business Mental Models; Kevin Espiritu; Mental Models for Business
Porter's Five Forces,Business Strategy,,Strategic Framework,,"Competitive intensity determined by threat of new entry, substitutes, supplier/buyer power",Business Strategy; Kevin Espiritu (Business Models); Michael Porter
Position Play,Game Theory & Decision,Strategic Frameworks,Strategic Framework,,,Poker Community; Poker Strategy
Position Play Advantage,Strategic Advantage,Strategic Play,Strategic Principle,,Information advantage from acting later gives disproportionate benefit,Poker Community; Poker Strategy
Position to Win,Decision Making,Principles,Principle,,,Clear Thinking; Shane Parrish
