Mental Model,Category,Subcategory,Type,Key Application,Description,Sources
Position Yourself to Win,Decision Making & Psychology,Key Principles,Principle,,Set conditions before deciding,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
Positive Black Swan,Opportunities,Positive Surprises,Opportunity Model,,,Black Swan; Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb
Positive Reinforcement & Negative Reinforcement,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Potemkin Village,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Power of Introverts,Leadership & Personality,Personality Types,Leadership Framework,,Introversion brings unique strengths to leadership often undervalued,Quiet; Susan Cain; Susan Cain (Quiet)
Precautionary Principle,"Laws, Principles & Razors",Principles,Principle,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Pre-Decision Scenarios,Decision Making,Probabilistic Decisions,Decision Framework,,,Annie Duke; Thinking in Bets
Prepare to Be Wrong,Error Correction,Flexibility,Decision Framework,,,Chip & Dan Heath; Decisive
Present Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Preserving Optionality,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Principles-Driven,Culture,Guiding Values,Cultural Framework,,,Principles; Ray Dalio
Principles-Driven Approach,Business & Life,Culture,Cultural Framework,,,Principles; Ray Dalio
Prisoner's Dilemma,Game Theory,General,Game Theory Model,,Individual incentives create suboptimal collective outcome,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Game Theory; SuperThinking
Probabilistic Thinking,General Thinking Concepts,Fundamental Frameworks,Framework,,Make decisions based on probabilities rather than certainties; embrace uncertainty quantification,"Annie Duke; Annie Duke (Thinking in Bets); Daniel Kahneman; Daniel Kahneman (Thinking, Fast and Slow); Great Mental Models Vol 1; Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1; Thinking in Bets"
Procrastination as Advantage,Creativity,Timing Advantage,Productivity Model,,,Adam Grant; Originals
Product/Market Fit,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Prompt,Behavior Change,Habit Formation,Behavioral Framework,,,BJ Fogg; Tiny Habits
Pros & Cons List,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Prospect Theory,Decision Theory,Risk Preferences,Economic Theory,,"People evaluate outcomes relative to reference point, not absolute value","Behavioral Economics; Daniel Kahneman; Daniel Kahneman (Thinking, Fast and Slow); Thinking, Fast and Slow"
Prototype Theory,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Publication Bias,"Biases, Fallacies & Effects",Selection & Data Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Public Goods,Economics and Art,Economics,Economic Concept,,Non-excludable non-rivalrous,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Purple Cow,Marketing & Innovation,,Marketing Framework,,Be remarkable/different to be noticed in crowded markets,Seth Godin (Purple Cow)
Pygmalion Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Pyramid Principle of Communication,Additional Frameworks,Communication,Framework,,,Cross-Source; Cross-Source Frameworks; Multiple
Radical Open-Mindedness,Learning & Growth,Learning,Mental Framework,,Actively seek to understand different viewpoints and consider them equally,Principles; Ray Dalio; Ray Dalio (Principles)
Radical Transparency,Organizational Culture,Openness,Cultural Principle,,Extreme openness about decisions and reasoning builds trust and improves outcomes,Principles; Ray Dalio; Ray Dalio (Principles)
Randomness,Systems and Mathematics,Mathematics,Probability Concept,,Unpredictable variation outcomes,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
Randomness in Financial Success,Finance & Psychology,Financial Behavior,Behavioral Model,,,Morgan Housel; The Psychology of Money
Randomness Recognition,Probability,Pattern Recognition,Cognitive Model,,,Fooled by Randomness; Nassim Taleb
Range Thinking,Probability & Uncertainty,Hand Analysis,Strategic Framework,,Consider full spectrum of possibilities rather than single outcome,Decision Making; Poker Community; Poker Strategy
RAS Theory,Comprehensive List,General,Mental Model,,,99 Mental Models
Razors,Core Thinking,Foundational,Core Model,,,Sloww
Reality is King,Philosophy,Core Belief,Principle,,,Principles; Ray Dalio
Reality is King (Face Reality Head-On),Philosophy & Decision Making,Systems & Decision-Making,Philosophical Principle,,Acknowledge truth of current situation before making decisions,Principles; Ray Dalio; Ray Dalio (Principles)
Reality-Test Assumptions,Reality-Testing,Fact-Checking,Decision Framework,,,Chip & Dan Heath; Decisive
Reality-Test Your Assumptions,Decision Making,Decision Process,Decision Framework,,,Chip & Dan Heath; Decisive
Recategorization,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict
Reciprocity,"Physics, Chemistry, Biology",Physics,Physics Principle,,Action creates equal opposite reaction,Gabriel Weinberg & Lauren McCann; Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2; SuperThinking; SuperThinking (Weinberg/McCann)
Reciprocity Fallacy,Comprehensive List,General,Mental Model,,,99 Mental Models
Reciprocity Principle,Comprehensive List,General,Mental Model,,,99 Mental Models
Red Queen Effect,Competition & Adaptation,General,Competitive Principle,,Constant adaptation required just to maintain competitive position,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Evolution; Shane Parrish (TGMM Vol 2); Shane Parrish Vol 2; Strategy
Red Team vs Blue Team,Decision Making,Probabilistic Decisions,Decision Framework,,,Annie Duke; Thinking in Bets
Regression to the Mean,Systems and Mathematics,Mathematics,Statistical Principle,,Extreme values tend to move toward average in subsequent measurements,80 Useful Mental Models; Behavioral Economics; Daniel Kahneman; Great Mental Models Vol 3; Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3; Statistics; SuperThinking
Regret Minimization Framework,Additional Frameworks,Decision Making,Framework,,,Cross-Source; Cross-Source Frameworks; Multiple
Relativity,"Physics, Chemistry, Biology",Physics,Physics Principle,,Different perspectives valid,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Replication,"Physics, Chemistry, Biology",Biology,Biological Principle,,Making copies maintain characteristics,80 Useful Mental Models; 80 Useful Mental Models Blog; Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2; hptbydts.com
Representation,Economics and Art,Art,Art Principle,,Ideas depicted symbolically,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Representativeness Heuristic,Cognitive Bias,Similarity Matching,Cognitive Bias,,Judging probability by similarity to prototypes rather than base rates,"99 Mental Models; Daniel Kahneman; SuperThinking; Thinking, Fast and Slow"
Resisting the Extrovert Ideal,Leadership & Personality,Work Environment,Organizational Model,,,Quiet; Susan Cain
Response Bias,"Biases, Fallacies & Effects",Selection & Data Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Rethinking,Cognitive Flexibility,Cognitive Flexibility,Mental Framework,,Open-minded reconsideration of beliefs when confronted with new information,Adam Grant; Adam Grant (Think Again); Think Again
Rethinking (vs Preaching),Learning & Change,Rethinking,Learning Model,,,Adam Grant; Think Again
Reverse Engineer,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Reversible vs Irreversible Decisions,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Reversing Investment Decisions,Investment,Investing Frameworks,Investment Model,,,Expectations Investing / Skill & Luck; Michael Mauboussin
Risk Management in Betting,Risk Management,Bankroll,Strategic Framework,,,Poker Community; Poker Strategy
Root Cause Principle,Decision Making,Principles,Principle,,,Clear Thinking; Shane Parrish
Safeguard Decisions,Decision Making,Principles,Principle,,,Clear Thinking; Shane Parrish
Safeguarding Decision-Making,Decision Making & Psychology,Key Principles,Principle,,Protect quality through process,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
Salespeople,Social Dynamics,Persuaders,Social Model,,,Malcolm Gladwell; The Tipping Point
Salespeople (Persuaders),Social Dynamics,Connectors,Social Model,,,Malcolm Gladwell; The Tipping Point
Sampling,Systems and Mathematics,Mathematics,Statistical Method,,Draw conclusions from portions,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
Satisficing Principle,Comprehensive List,General,Mental Model,,,99 Mental Models
Sayre's Law,"Laws, Principles & Razors",Laws,Law,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Scale,Systems and Mathematics,Systems,System Concept,,How systems change with size,Great Mental Models Vol 3; Kevin Espiritu; Mental Models for Business; Shane Parrish; Shane Parrish Vol 3
Scarcity,Economics and Art,Economics,Economic Principle,,Limited resources drive value,Gabriel Weinberg & Lauren McCann; Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4; SuperThinking; SuperThinking (Weinberg/McCann); Thaler & Sunstein
Scarcity Mental Model,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Scientific Method,Core Thinking,Foundational,Core Model,,,Sloww
SCQA Structure,Additional Frameworks,Communication,Framework,,,Cross-Source
"SCQA Structure (Situation, Complication, Question, Answer)",Additional Frameworks,Communication,Framework,,,Cross-Source Frameworks; Multiple
Second-Order Thinking,General Thinking Concepts,Fundamental Frameworks,Framework,,Consider not just immediate effects but the consequences of those consequences,Great Mental Models Vol 1; Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1
Selection Bias,"Biases, Fallacies & Effects",Selection & Data Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Self-Accountability,Decision Making & Psychology,Strengths,Strength,,Taking responsibility outcomes,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
Self-Confidence,Decision Making & Psychology,Strengths,Strength,,Trusting independent action,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
Self-Control,Decision Making & Psychology,Strengths,Strength,,Managing emotions prevent impulses,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
Self-Fulfilling Prophecy,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com
Self-Knowledge,Decision Making & Psychology,Strengths,Strength,,Understanding strengths weaknesses,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
Self-Preservation,"Physics, Chemistry, Biology",Biology,Biological Principle,,Innate drive maintain existence,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Self-Serving Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Semmelweis Reflex,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Separate Decision Quality from Outcomes,Quality,Decision vs Outcome,Decision Model,,,Annie Duke; Thinking in Bets
Separate Luck from Skill,Attribution,Luck and Skill,Learning Model,,,Annie Duke; Thinking in Bets
Separating Luck from Skill,Skill Development,Learning,Learning Model,,,Annie Duke; Thinking in Bets
Serendipity,Comprehensive List,General,Mental Model,,,99 Mental Models
Shared Goals,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict
Shared Mental Models,Teamwork,Mental Alignment,Team Framework,,,Atul Gawande; The Checklist Manifesto
Short-Term Emotion,Decision Making,Decision Framework,Decision Model,,,Chip & Dan Heath; Decisive
Simple Mistakes in Complex Systems,Systems & Complexity,Process Management,Process Framework,,,Atul Gawande; The Checklist Manifesto
Simultaneous Invention,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Six Principles of Influence,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Six Thinking Hats,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Skill vs Luck Framework,Investment,Investing Frameworks,Investment Model,,,Expectations Investing / Skill & Luck; Michael Mauboussin
Skill vs Luck Spectrum,Performance,Attribution,Performance Model,,,"Michael Mauboussin; Skill, Luck & Markets"
Slippery Slope Argument,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Social Default,Decision Making,Defaults,Decision Trap,,,Clear Thinking; Shane Parrish
Social Proof,"Biases, Fallacies & Effects",Influence Principles,Influence Principle,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Spacing Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Speculative vs Conservative Approach,Finance & Psychology,Financial Behavior,Behavioral Model,,,Morgan Housel; The Psychology of Money
Spotlight Effect,Comprehensive List,General,Mental Model,,,99 Mental Models
Status Quo Bias,Cognitive Bias,Default Position,Cognitive Bias,,Preference for current state over alternatives; resistance to change,"99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Behavioral Economics; Daniel Kahneman; SuperThinking; Thinking, Fast and Slow"
Stickiness Factor,Viral Spread,Memorability,Social Model,,,Malcolm Gladwell; The Tipping Point
Stimulus-Response Gap,Decision Making,Principles,Principle,,,Clear Thinking; Shane Parrish
Stoic Philosophy & Obstacles,Philosophy & Resilience,,Philosophical Framework,,Every obstacle is opportunity for virtue; control what you can control,Marcus Aurelius (Meditations); Ryan Holiday (The Obstacle Is the Way)
Streetlight Effect,Comprehensive List,General,Mental Model,,,99 Mental Models
Streisand Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Strengths-Based Thinking,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Style,Economics and Art,Art,Art Concept,,Distinctive manner expression,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
Sunk-Cost Fallacy,"Biases, Fallacies & Effects",Reasoning Fallacies,Decision Bias,,Continuing action due to past investment rather than future value,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Behavioral Economics; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Super Mario Effect,Comprehensive List,General,Mental Model,,,99 Mental Models
Supply and Demand,Economics and Art,Economics,Economic Principle,,Market price determined by relationship between supply and demand,Economics; Great Mental Models Vol 4; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4
Supply & Demand,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Surface Area,Systems and Mathematics,Mathematics,Mathematical Concept,,Points of contact matter,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
Survival is the Starting Point,Finance & Psychology,Financial Behavior,Behavioral Model,,,Morgan Housel; The Psychology of Money
Survivorship Bias,"Biases, Fallacies & Effects",Selection & Data Biases,Cognitive Bias,,Focusing on survivors while ignoring failures skews understanding,99 Mental Models; Cognitive Psychology; Gabriel Weinberg & Lauren McCann; History; SuperThinking; SuperThinking (Weinberg/McCann)
Swim Lane Theory,Comprehensive List,General,Mental Model,,,99 Mental Models
Symbolism,Economics and Art,Art,Art Concept,,Objects represent concepts,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4
System 1 (Fast),Cognitive Systems,Automatic Thinking,Cognitive Model,,,"Daniel Kahneman; Thinking, Fast and Slow"
"System 1 Thinking (Fast, Intuitive, Emotional)",Cognitive Psychology,Decision Making,Cognitive Model,,,"Daniel Kahneman; Thinking, Fast and Slow"
System 1 vs System 2 Thinking,Cognitive Psychology,,Cognitive Model,,"System 1: fast, intuitive, emotional thinking. System 2: slow, deliberate, logical","Daniel Kahneman (Thinking, Fast and Slow)"
System 2 (Slow),Cognitive Systems,Deliberate Thinking,Cognitive Model,,,"Daniel Kahneman; Thinking, Fast and Slow"
"System 2 Thinking (Slow, Deliberative, Logical)",Cognitive Psychology,Decision Making,Cognitive Model,,,"Daniel Kahneman; Thinking, Fast and Slow"
Systemize Decision Making,Decisions,Process,Framework,,,Principles; Ray Dalio
Systems Over Goals,Systems,Goals,Systems Model,,,Atomic Habits; James Clear
Systems Thinking,Decision Making & Psychology,Key Principles,Framework,,Understand how parts interact to create emergent behaviors in complex wholes,Atul Gawande; Clear Thinking; Gabriel Weinberg & Lauren McCann; Principles; Ray Dalio; Ray Dalio (Principles); Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish: Clear Thinking; SuperThinking; SuperThinking (Weinberg/McCann)
Systems Thinking (Clear Thinking),Holistic Analysis,,Framework,,Understand interconnections,Clear Thinking
Tendency to Minimize Energy,Biology & Efficiency,,Biological Principle,,Natural inclination efficiency,Shane Parrish Vol 2
Tendency to Minimize Energy Output,"Physics, Chemistry, Biology",Biology,Natural System,,,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Texas Sharpshooter Fallacy,"Biases, Fallacies & Effects",Reasoning Fallacies,Fallacy,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
The 4 Cores of Credibility / Speed of Trust Framework,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
The 5-Step Process,Decision Making,Five-Step Process,Process Framework,,Goals → Problems → Root Causes → Solutions → Implementation Plan,Principles; Problem-Solving; Ray Dalio; Ray Dalio (Principles)
The 5 Whys,Comprehensive List,General,Mental Model,,,99 Mental Models
The 5 W's (And 1 H),Comprehensive List,General,Mental Model,,,80 Useful Mental Models
The Art of Learning,Learning & Growth,Learning Framework,Learning Model,,,Josh Waitzkin; The Art of Learning
The Bridge Problem,Comprehensive List,General,Mental Model,,,99 Mental Models
The Checklist,Process,Complexity Management,Process Framework,,,Atul Gawande; The Checklist Manifesto
The Curse of Knowledge,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
The Definition Principle,Decision Making & Psychology,Key Principles,Principle,,Clearly define before solving,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
The Ego Default,Decision Making & Psychology,Defaults/Enemies,Decision Trap,,Reacting to self-worth threats,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
The Eisenhower Matrix,Comprehensive List,General,Mental Model,,,99 Mental Models
The Emotion Default,Decision Making & Psychology,Defaults/Enemies,Decision Trap,,Responding to feelings,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
The Five-Step Process,Business & Life,Decision Making,Decision Framework,,,Principles; Ray Dalio
The Forgetting Curve,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
The Golden Mean,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
The Golden Rule,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
"The Habit Loop (Cue, Routine, Reward)",Habit Formation,Behavior Design,Habit Model,,,Atomic Habits; James Clear
The Inertia Default,Decision Making & Psychology,Defaults/Enemies,Decision Trap,,Preferring familiarity change,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
The Law of Diminishing Returns,Systems and Mathematics,Mathematics,Mathematical Principle,,,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3
The Law of Non-Contradiction,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
The Magic Ratio,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
The Map is not the Territory,General Thinking Concepts,Fundamental Frameworks,Framework,,Our mental representations of reality are not reality itself; the map differs from the territory,Great Mental Models Vol 1; Great Mental Models Vol 1-4; Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1; SuperThinking; SuperThinking (Weinberg & McCann)
The Matter of Degree Versus Kind,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Theory of Constraints,Comprehensive List,General,Mental Model,,,99 Mental Models
The Pareto Principle,Comprehensive List,General,Mental Model,,,99 Mental Models
The Peter Principle,Comprehensive List,General,Mental Model,,,99 Mental Models
The Placebo Effect,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
The Platinum Rule,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
The Reasonable Person,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Thermodynamics,"Physics, Chemistry, Biology",Physics,Physics Principle,,Energy conservation and entropy principles apply to many systems,99 Mental Models; Great Mental Models Vol 2; Shane Parrish; Shane Parrish (TGMM Vol 2); Shane Parrish Vol 2
The Root Cause Principle,Decision Making & Psychology,Key Principles,Principle,,Find root not surface,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
The Social Default,Decision Making & Psychology,Defaults/Enemies,Decision Trap,,Conforming to group norms,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking
The Socratic Method,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Things Don't Always Go As Planned (Robert Burns),"Laws, Principles & Razors",Principles,Principle,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Thinking Gray,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Thinking in Bets,Decision Quality,Probabilistic,Decision Framework,,Separate decision quality from luck; focus on process not just outcomes,Annie Duke; Annie Duke (Thinking in Bets); Thinking in Bets
Thin-Slicing,Unconscious Cognition,Rapid Cognition,Cognitive Framework,,Make accurate judgments from minimal information using trained intuition,Blink; Malcolm Gladwell; Malcolm Gladwell (Blink)
Thought Experiment,General Thinking Concepts,Fundamental Frameworks,Method,,Mental simulation to test ideas,Great Mental Models Vol 1; Shane Parrish; Shane Parrish Vol 1
Three Components of Behavior,Components,Motivation,Behavioral Framework,,,BJ Fogg; Tiny Habits
Tilt,Business & Entrepreneurship,Business Models,Business Model,,,Kevin Espiritu; Mental Models for Business
Time Frame Matters,Investing,Time,Temporal Framework,,,Morgan Housel; Psychology of Money; The Psychology of Money
Tiny Habits,Habit Formation,Habit Formation,Behavioral Framework,,Start with micro-behaviors and anchor to existing routines for success,BJ Fogg; BJ Fogg (Tiny Habits); Tiny Habits
Tiny Habits Framework,Habits,Formation,Behavioral Framework,,,BJ Fogg; Tiny Habits
Tipping Point,Key Concepts,System & Natural Dynamics,Social Model,,"The moment when an idea, behavior, or product crosses threshold and spreads",99 Mental Models; Gabriel Weinberg & Lauren McCann; Malcolm Gladwell; Malcolm Gladwell (The Tipping Point); SuperThinking; SuperThinking (Weinberg/McCann); The Tipping Point
Tool-Based Approach to Complexity,Systems & Complexity,Process Management,Process Framework,,,Atul Gawande; The Checklist Manifesto
Tool vs. Goal Fallacy,Comprehensive List,General,Mental Model,,,99 Mental Models
Trade-Offs,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com
Tragedy of the Commons,Key Concepts,Foundational Thinking,Economic Model,,Individual incentives lead to collective overuse of shared resources,99 Mental Models; Economics; Gabriel Weinberg & Lauren McCann; Garrett Hardin; SuperThinking; SuperThinking (Weinberg/McCann)
Trained Intuition,Unconscious Cognition,Expert Intuition,Cognitive Model,,,Blink; Malcolm Gladwell
Trained Intuition of Experts,Unconscious Cognition,Decision Making,Cognitive Model,,,Blink; Malcolm Gladwell
Two Pizza Rule,Comprehensive List,General,Mental Model,,,99 Mental Models
Tyranny of Small Decisions,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Unconscious Bias (Warren Harding Error),Unconscious Cognition,Decision Making,Cognitive Model,,,Blink; Malcolm Gladwell
Universal Principles,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Unlearning,Learning & Change,Mental Updating,Learning Framework,,Actively question and update outdated beliefs based on new evidence,Adam Grant; Adam Grant (Think Again); Think Again
Unlearning Past Beliefs,Learning & Change,Unlearning,Learning Model,,,Adam Grant; Think Again
Us vs Them Thinking,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict
Value Creation Drivers,Investment,Investing Frameworks,Investment Model,,,Expectations Investing / Skill & Luck; Michael Mauboussin
Veil of Ignorance,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann)
Velocity,"Physics, Chemistry, Biology",Physics,Physics Principle,,Speed with direction,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2
Velocity vs. Speed Problem,Comprehensive List,General,Mental Model,,,99 Mental Models
Venn Diagram,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
Via Negativa,Additional Frameworks,Problem Solving,Method,,,Cross-Source
Via Negativa (Define by subtraction),Additional Frameworks,Problem Solving,Framework,,,Cross-Source Frameworks; Multiple
Warren Harding Error,Unconscious Cognition,Implicit Bias,Cognitive Bias,,,Blink; Malcolm Gladwell
Widen Your Options,Widening,Expanding Options,Decision Framework,,,Chip & Dan Heath; Decisive
Win-Win,Comprehensive List,General,Mental Model,,,80 Useful Mental Models
WRAP Decision Framework,Decision Making,,Decision Framework,,"Widen options, Reality-test, Attain distance, Prepare to be wrong",Chip & Dan Heath (Decisive)
WRAP Decision Process,Decision Making,Decision Framework,Decision Model,,,Chip & Dan Heath; Decisive
WRAP Framework,Decision Process,Framework,Decision Model,,,Chip & Dan Heath; Decisive
Zeigarnik Effect,Comprehensive List,General,Mental Model,,,99 Mental Models
